episode,return,loss
481,-66.44573418706732,11.206464658180872
482,-55.63299857649291,11.850026822090149
483,-67.8669190975066,11.301196293036144
484,-68.94149983081027,10.959223474065462
485,-87.2064530475969,11.683713082472483
486,-51.59535395590595,13.895613700151443
487,-66.95687488747006,11.012653126319249
488,-80.68708894952795,11.657408477862676
489,-62.42161938747633,12.038137418031692
490,-46.82085338460211,11.969168239831925
491,-74.52896332236256,11.295196690162022
492,-51.26716618547257,11.646248525381088
493,-83.18769978034481,10.573425237337748
494,-65.64360531422851,11.3457681953907
495,-69.43781645841315,10.534621878465016
496,-66.4711736574024,10.613472137848536
497,-57.097391695327275,11.341122444470724
498,-62.279828644027056,11.406441628932953
499,-72.44137089182372,12.201062645514806
500,-74.02618602556268,11.479030789931615
