controller,minute,zone_c,measurement_c,setpoint_c,outdoor_c,internal_load_w,command_pct,requested_command_pct,kp,ki,inference_us,fallback_active
Ziegler-Nichols,221.0,22.529471920909096,22.60759191668894,23.8,36.584495918571854,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,222.0,22.542530629273006,22.540731139049992,23.8,36.597792193320736,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,223.0,22.567895572528002,22.524332791444355,23.8,36.61103900985089,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,224.0,22.603448660502856,22.560846945673685,23.8,36.62423611596203,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,225.0,22.647425148208615,22.567759151653668,23.8,36.63738326040028,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,226.0,22.698354743200703,22.600249214010134,23.8,36.65048019286295,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,227.0,22.75501252839004,22.621931405727203,23.8,36.663526664003335,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,228.0,22.816378064394918,22.653695651535404,23.8,36.67652242543544,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,229.0,22.88160130817684,22.71706028580601,23.8,36.689467229738675,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,230.0,22.949974211912917,22.761401976657723,23.8,36.70236083046264,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,231.0,23.02090705539868,22.827347152301314,23.8,36.71520298213177,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,232.0,23.09390872305957,22.864197293781757,23.8,36.727993440249996,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,233.0,23.16857026813622,22.950100630434815,23.8,36.740731961305436,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,234.0,23.244551216181247,23.00648815992079,23.8,36.75341830277502,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,235.0,23.321568151315518,23.059324921110626,23.8,36.76605222312908,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,236.0,23.39938520478402,23.157859242917134,23.8,36.77863348183599,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,237.0,23.47780612876129,23.22950902532309,23.8,36.79116183936672,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,238.0,23.556667691198108,23.321332423244122,23.8,36.8036370571994,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,239.0,23.635834171535905,23.406846788740587,23.8,36.81605889782387,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,240.0,23.715192773810852,23.487492001053532,23.8,36.82842712474619,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,241.0,23.794649804249307,23.569815348453897,23.8,36.840741502493145,1650.0,0.0,4.5644937393010565,1.5,0.08,0.0,0
Ziegler-Nichols,242.0,23.874127485939383,23.676499285471536,23.8,36.853001796616724,1650.0,25.0,19.579078575719173,1.5,0.08,0.0,0
Ziegler-Nichols,243.0,23.953561304399205,23.766520999139296,23.8,36.865207773698614,1650.0,30.0,32.814503618997485,1.5,0.08,0.0,0
Ziegler-Nichols,244.0,24.032897795559045,23.87633578583903,23.8,36.87735920135461,1650.0,35.0,49.897407910669656,1.5,0.08,0.0,0
Ziegler-Nichols,245.0,24.112092702421656,23.927764395311307,23.8,36.889455848239024,1650.0,40.0,58.63381449400187,1.5,0.08,0.0,0
Ziegler-Nichols,246.0,24.191109438954378,24.00142720180823,23.8,36.90149748404915,1650.0,45.0,71.29465308300618,1.5,0.08,0.0,0
Ziegler-Nichols,247.0,24.269917810007687,24.085526336193347,23.8,36.9134838795296,1650.0,50.0,86.19373393032042,1.5,0.08,0.0,0
Ziegler-Nichols,248.0,24.348492944589086,24.13381182726,23.8,36.92541480647668,1650.0,55.00000000000001,96.10705220839851,1.5,0.08,0.0,0
Ziegler-Nichols,249.0,24.426814406933033,24.22660770205226,23.8,36.93729003774274,1650.0,60.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,250.0,24.49711035369343,24.277964394102685,23.8,36.949109347240494,1650.0,65.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,251.0,24.55914592321103,24.365507979296684,23.8,36.96087250994733,1650.0,70.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,252.0,24.612732953425123,24.419289601713974,23.8,36.972579301909576,1650.0,75.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,253.0,24.657722159929367,24.506794083988087,23.8,36.9842295002468,1650.0,80.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,254.0,24.6939966178836,24.569346787904777,23.8,36.99582288315601,1650.0,85.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,255.0,24.721466330471294,24.59728698024719,23.8,37.007359229915906,1650.0,90.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,256.0,24.7400637028107,24.627134159856368,23.8,37.018838320891085,1650.0,95.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,257.0,24.749739770409704,24.6605331139765,23.8,37.0302599375362,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,258.0,24.75046105640612,24.67832040293442,23.8,37.04162386240012,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,259.0,24.742206952794884,24.695503048817848,23.8,37.05292987913012,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,260.0,24.724967538309937,24.711728062723072,23.8,37.064177772475915,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,261.0,24.698741760184095,24.705171267649053,23.8,37.07536732829384,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,262.0,24.66353591913957,24.68662540283092,23.8,37.08649833355088,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,263.0,24.619362407069698,24.694572622150357,23.8,37.09757057632874,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,264.0,24.566238655295745,24.680552025576624,23.8,37.10858384582789,1650.0,100.0,100.0,1.5,0.08,0.0,0
