algorithm,ordinal,repeat_seed,scenario_index,objective,rmse_c,max_undershoot_c,failed_checks,load_ratio,window_left_h,cause
bo,31,211,15,55.46642787802828,1.6074713239903131,1.1832731212712524,comfort_held+recovery_ok,0.097,1.0,tuning
safe-bo,31,211,15,51.24441444736406,1.58793747464945,0.9444361624892892,comfort_held+recovery_ok,0.097,1.0,tuning
fnn,31,211,15,51.24441444736406,1.58793747464945,0.9444361624892892,comfort_held+recovery_ok,0.097,1.0,tuning
rl,31,211,15,47.6776921886838,1.5723360680006693,0.5870041389532865,comfort_held+recovery_ok,0.097,1.0,tuning
llm,31,211,15,51.24441444736406,1.58793747464945,0.9444361624892892,comfort_held+recovery_ok,0.097,1.0,tuning
zn,32,211,16,45.22253729030887,0.9059400247278652,3.47335810908411,comfort_held+recovery_ok,0.165,1.0,tuning
zn,33,307,1,49.35487432328385,0.9233161383727319,2.220788976247693,comfort_held+recovery_ok,0.051,1.0,tuning
imc,33,307,1,17.32206075792945,0.4352333768516178,1.0692127803810756,recovery_ok,0.051,1.0,tuning
bo,33,307,1,17.079658342182785,0.41841238964496186,1.1400996241562282,recovery_ok,0.051,1.0,tuning
safe-bo,33,307,1,17.32206075792945,0.4352333768516178,1.0692127803810756,recovery_ok,0.051,1.0,tuning
fnn,33,307,1,17.32206075792945,0.4352333768516178,1.0692127803810756,recovery_ok,0.051,1.0,tuning
rl,33,307,1,15.995927307533576,0.41935985722911784,0.9113386515122812,recovery_ok,0.051,1.0,tuning
llm,33,307,1,17.32206075792945,0.4352333768516178,1.0692127803810756,recovery_ok,0.051,1.0,tuning
zn,34,307,2,38.0335570878533,0.9063393064956128,1.0796073889010316,recovery_ok,0.626,0.88,window
imc,34,307,2,43.72339079546132,0.9625139759321094,0.7962382028883113,comfort_held+recovery_ok,0.626,0.88,window
bo,34,307,2,35.32963285556812,0.8527976054122233,0.8848964358641851,recovery_ok,0.626,0.88,window
safe-bo,34,307,2,43.72339079546132,0.9625139759321094,0.7962382028883113,comfort_held+recovery_ok,0.626,0.88,window
fnn,34,307,2,43.72339079546132,0.9625139759321094,0.7962382028883113,comfort_held+recovery_ok,0.626,0.88,window
rl,34,307,2,36.952458256473065,0.8952891668217673,0.7660354875361897,recovery_ok,0.626,0.88,window
llm,34,307,2,43.72339079546132,0.9625139759321094,0.7962382028883113,comfort_held+recovery_ok,0.626,0.88,window
zn,35,307,3,98.67257103300099,1.698629071520584,2.9977313134643673,comfort_held+recovery_ok,0.174,1.0,tuning
imc,35,307,3,65.72225429516176,1.2675266502983145,2.32649455963395,comfort_held+recovery_ok,0.174,1.0,tuning
bo,35,307,3,75.18096761078705,1.3887112326939826,2.55794438136693,comfort_held+recovery_ok,0.174,1.0,tuning
