episode,return,iae,kp,ki,gradient,gradient_kp,gradient_ki,gradient_logits,logits,noise,noise_std,noise_mean,noise_l2,steps,status
30,-86.22353650362815,86.22353650362815,0.37579856110158194,0.014729813338916129,"[516.9993240651179, 471669.46745412226]",516.9993240651179,471669.46745412226,"[256.60683248852155, 14354.213453167087]","[0.5571833552906829, 0.34812337841007773]","{'std': 0.1, 'mean': -0.0008667579218717044, 'sample_std': 0.10196617482238023, 'l2': 3.532339521145157, 'first': 0.043726482738305865, 'last': 0.013827131373377306, 'samples': 1200}",0.1,-0.0008667579218717044,3.532339521145157,1200,updated
31,-72.87081892394984,72.87081892394984,0.3770739152549424,0.019733590034079054,"[-884.6468452752198, -9751.690832567414]",-884.6468452752198,-9751.690832567414,"[-440.267075513121, -385.95499408402765]","[0.5597494236155681, 0.49166551294174865]","{'std': 0.1, 'mean': -0.0006460530935936184, 'sample_std': 0.10224787972784281, 'l2': 3.5420411561876266, 'first': 0.07812342257144282, 'last': -0.03869309820835951, 'samples': 1200}",0.1,-0.0006460530935936184,3.5420411561876266,1200,updated
32,-73.40739257519563,73.40739257519563,0.3748878621334919,0.01958135510916131,"[8338.136412656522, 3583.792582886914]",8338.136412656522,3583.792582886914,"[4130.568225624186, 140.87654131924376]","[0.5553467528604369, 0.4878059630009084]","{'std': 0.1, 'mean': -0.00034038181839433153, 'sample_std': 0.10381741141074247, 'l2': 3.596359955033921, 'first': 0.11635521380934827, 'last': 0.039746898568481896, 'samples': 1200}",0.1,-0.00034038181839433153,3.596359955033921,1200,updated
33,-75.29510714640969,75.29510714640969,0.3957955277207813,0.019636801772104702,"[5037.7793471409905, 94806.7197072552]",5037.7793471409905,94806.7197072552,"[2604.4827710637824, 3736.0820893362147]","[0.5966524351166788, 0.48921472841410085]","{'std': 0.1, 'mean': -0.002618565858044502, 'sample_std': 0.09937311058219908, 'l2': 3.443580461194694, 'first': 0.02408197956729103, 'last': 0.004698204934709495, 'samples': 1200}",0.1,-0.002618565858044502,3.443580461194694,1200,updated
34,-73.15519613910317,73.15519613910317,0.40943895615639786,0.02115843194802385,"[-5045.780604160979, -18872.35419355484]",-5045.780604160979,-18872.35419355484,"[-2677.8358799753755, -793.9297909425985]","[0.6226972628273166, 0.526575549307463]","{'std': 0.1, 'mean': -0.00011351263935748923, 'sample_std': 0.10043459581014921, 'l2': 3.479158677726671, 'first': 0.0978574373167041, 'last': 0.057556456477978135, 'samples': 1200}",0.1,-0.00011351263935748923,3.479158677726671,1200,updated
35,-71.6389930179801,71.6389930179801,0.39541644067022214,0.02082672616334264,"[8057.724395770686, 51505.13043852741]",8057.724395770686,51505.13043852741,"[4162.659208788428, 2137.1010013181935]","[0.5959189040275629, 0.518636251398037]","{'std': 0.1, 'mean': 0.002760120181394936, 'sample_std': 0.09988475128312682, 'l2': 3.461430074805704, 'first': -0.016724214466124116, 'last': -0.05918458033979961, 'samples': 1200}",0.1,0.002760120181394936,3.461430074805704,1200,updated
36,-72.80520484313422,72.80520484313422,0.4173772531464142,0.021730085235434998,"[8764.473461189977, 85319.13842355735]",8764.473461189977,85319.13842355735,"[4720.130801604271, 3673.337668493033]","[0.6375454961154472, 0.540007261411219]","{'std': 0.1, 'mean': -0.005147014680637463, 'sample_std': 0.10174580892383812, 'l2': 3.5290851041632094, 'first': -0.06170485907999112, 'last': -0.02826535186131378, 'samples': 1200}",0.1,-0.005147014680637463,3.5290851041632094,1200,updated
37,-70.8713720456028,70.8713720456028,0.4433876038198771,0.023362197056917264,"[10019.770534953652, 196433.24927435553]",10019.770534953652,196433.24927435553,"[5646.782053721478, 9002.022245956457]","[0.6847468041314899, 0.5767406380961494]","{'std': 0.1, 'mean': -0.007307385044430286, 'sample_std': 0.09883866427663818, 'l2': 3.4332164683592357, 'first': 0.047910554975684874, 'last': 0.10449576927884446, 'samples': 1200}",0.1,-0.007307385044430286,3.4332164683592357,1200,updated
38,-67.14088910884537,67.14088910884537,0.4760566312667635,0.027809686179106532,"[4060.4403907006017, -65506.193607054425]",4060.4403907006017,-65506.193607054425,"[2409.9162195506046, -3477.882125293495]","[0.7412146246687047, 0.6667608605557139]","{'std': 0.1, 'mean': 0.001954070621192759, 'sample_std': 0.09835004959363405, 'l2': 3.4076180502625975, 'first': 0.024354878553459604, 'last': 0.2910967446346269, 'samples': 1200}",0.1,0.001954070621192759,3.4076180502625975,1200,updated
39,-69.33294679347992,69.33294679347992,0.49051338718998505,0.026013623014152894,"[1150.2637252079412, 21415.17091974835]",1150.2637252079412,21415.17091974835,"[697.3535548591631, 1075.2203042344051]","[0.7653137868642107, 0.631982039302779]","{'std': 0.1, 'mean': 0.00029341403739081303, 'sample_std': 0.09818629627190642, 'l2': 3.4012882619487437, 'first': -0.011901020395055757, 'last': 0.07732094750457989, 'samples': 1200}",0.1,0.00029341403739081303,3.4012882619487437,1200,updated
