episode,decision,learning_scenario,state_error_bin,state_delta_bin,state_command_bin,error_c,error_rate_c_per_min,action,target_kp_scale,target_ki_scale,applied_kp,applied_ki,reward,next_error_bin,next_delta_bin,next_command_bin,next_error_c,next_error_rate_c_per_min,td_error
2.0,11.0,38.0,2.0,2.0,1.0,0.27102996777455957,-0.0008446246640744448,3.0,1.0,0.75,0.45082372186615355,0.002467060174341268,-0.28544979957349387,2.0,2.0,1.0,0.24081045361048936,-0.006043902832814041,-0.2696622529233926
2.0,12.0,38.0,2.0,2.0,1.0,0.24081045361048936,-0.006043902832814041,7.0,1.3,1.0,0.4959060940527689,0.0027137661917753953,-0.2394271451418079,2.0,2.0,1.0,0.19589208766815958,-0.008983673188465957,-0.2233989575808329
2.0,13.0,38.0,2.0,2.0,1.0,0.19589208766815958,-0.008983673188465957,4.0,1.0,1.0,0.45082372186615355,0.002985142810952935,-0.22232407985729452,2.0,2.0,1.0,0.19036923736885214,-0.0011045700598614871,-0.19944985049459463
2.0,14.0,38.0,2.0,2.0,1.0,0.19036923736885214,-0.0011045700598614871,1.0,0.75,1.0,0.4057413496795382,0.003076518486521097,-0.22655604048590466,2.0,2.0,1.0,0.19108941715071381,0.0001440359563723348,-0.21031670093677524
2.0,15.0,38.0,2.0,2.0,1.0,0.19108941715071381,0.0001440359563723348,7.0,1.3,1.0,0.44631548464749204,0.003076518486521097,-0.19273523672384263,2.0,2.0,1.0,0.16264167020574405,-0.005689549388993953,-0.1549428935756128
2.0,16.0,38.0,2.0,2.0,1.0,0.16264167020574405,-0.005689549388993953,6.0,1.3,0.75,0.4909470331122413,0.0027688666378689877,-0.13929027518278012,2.0,2.0,1.0,0.1018387950296642,-0.01216057503521597,-0.12294014809058518
2.0,17.0,38.0,2.0,2.0,1.0,0.1018387950296642,-0.01216057503521597,0.0,0.75,0.75,0.4418523298010172,0.002491979974082089,-0.16526598982751542,2.0,2.0,1.0,0.1295871028178972,0.005549661557646602,-0.14870049339379315
2.0,18.0,38.0,2.0,2.0,1.0,0.1295871028178972,0.005549661557646602,6.0,1.3,0.75,0.4860375627811189,0.0023073888648908226,-0.22603493839826114,2.0,2.0,1.0,0.221786552683799,0.018439889973180357,-0.20879964223981407
2.0,19.0,38.0,2.0,2.0,1.0,0.221786552683799,0.018439889973180357,0.0,0.75,0.75,0.43743380650300706,0.0023073888648908226,-0.23057996705749337,2.0,2.0,1.0,0.19188908463190302,-0.005979493610379194,-0.2129438270713358
2.0,20.0,38.0,2.0,2.0,1.0,0.19188908463190302,-0.005979493610379194,3.0,1.0,0.75,0.45082372186615355,0.0023073888648908226,-0.18984641416818032,2.0,2.0,1.0,0.15438577754268223,-0.0075006614178441565,-0.17211729929703062
2.0,21.0,38.0,2.0,2.0,1.0,0.15438577754268223,-0.0075006614178441565,1.0,0.75,1.0,0.4057413496795382,0.002538127751379905,-0.17485794828088597,2.0,2.0,1.0,0.12887206813794094,-0.005102741880948258,-0.15710432848501177
2.0,22.0,38.0,2.0,2.0,1.0,0.12887206813794094,-0.005102741880948258,4.0,1.0,1.0,0.44631548464749204,0.002791940526517896,-0.16283520902823342,2.0,2.0,1.0,0.13351687814527935,0.0009289620014676814,-0.1447617371667287
2.0,23.0,38.0,2.0,2.0,1.0,0.13351687814527935,0.0009289620014676814,6.0,1.3,0.75,0.4909470331122413,0.0025127464738661062,-0.12436191418459192,2.0,2.0,0.0,0.08112165164667573,-0.010479045299720723,0.18794897885830408
2.0,24.0,38.0,2.0,2.0,0.0,0.08112165164667573,-0.010479045299720723,7.0,1.3,1.0,0.5400417364234654,0.0027640211212527173,-0.15951726841466823,2.0,2.0,1.0,0.1618799502369157,0.016151659718047995,-0.43188886305977375
2.0,25.0,38.0,2.0,2.0,1.0,0.1618799502369157,0.016151659718047995,6.0,1.3,0.75,0.5860708384259996,0.0024876190091274457,-0.21532364887518807,2.0,2.0,1.0,0.21102861665651673,0.009829733283920205,-0.19793822794039406
2.0,26.0,38.0,2.0,2.0,1.0,0.21102861665651673,0.009829733283920205,0.0,0.75,0.75,0.5274637545833997,0.0023073888648908226,-0.2655814193163816,2.0,2.0,1.0,0.2404593884634565,0.005886154361387952,-0.23987772623091763
2.0,27.0,38.0,2.0,2.0,1.0,0.2404593884634565,0.005886154361387952,7.0,1.3,1.0,0.5802101300417397,0.002538127751379905,-0.21245320272006807,2.0,2.0,1.0,0.17825658188826665,-0.012440561315037967,-0.19370095383076663
2.0,28.0,38.0,2.0,2.0,1.0,0.17825658188826665,-0.012440561315037967,6.0,1.3,0.75,0.5860708384259996,0.0023073888648908226,-0.18934017430992342,2.0,2.0,1.0,0.14259286687910233,-0.007132743001832864,-0.17052959813395857
2.0,29.0,38.0,2.0,2.0,1.0,0.14259286687910233,-0.007132743001832864,1.0,0.75,1.0,0.5274637545833997,0.002538127751379905,-0.13867844887567693,2.0,2.0,1.0,0.0937052923306183,-0.009777514909696805,-0.11979367791471063
2.0,30.0,38.0,2.0,2.0,1.0,0.0937052923306183,-0.009777514909696805,3.0,1.0,0.75,0.47471737912505974,0.0023073888648908226,-0.14923702135200212,2.0,2.0,1.0,0.1606759822293924,0.013394137979754816,-0.1302686619259138
2.0,31.0,38.0,2.0,2.0,1.0,0.1606759822293924,0.013394137979754816,4.0,1.0,1.0,0.45082372186615355,0.002538127751379905,-0.1500103050566085,2.0,2.0,1.0,0.10176521751111522,-0.011782152943655432,-0.13089454868750333
2.0,32.0,38.0,2.0,2.0,1.0,0.10176521751111522,-0.011782152943655432,0.0,0.75,0.75,0.4057413496795382,0.0023073888648908226,-0.11638406120141803,2.0,2.0,0.0,0.11406878995397918,0.0024607144885727904,0.2318901916308112
2.0,33.0,38.0,2.0,2.0,0.0,0.11406878995397918,0.0024607144885727904,0.0,0.75,0.75,0.36516721471158436,0.0023073888648908226,-0.15434932931295578,2.0,2.0,1.0,0.20912082961467604,0.019010407932139373,-0.45556991335929575
2.0,34.0,38.0,2.0,2.0,1.0,0.20912082961467604,0.019010407932139373,0.0,0.75,0.75,0.3381177913996152,0.0023073888648908226,-0.22788786400124786,2.0,2.0,1.0,0.18968788893251443,-0.0038865881364323228,-0.20866101821105593
2.0,35.0,38.0,2.0,2.0,1.0,0.18968788893251443,-0.0038865881364323228,1.0,0.75,1.0,0.3381177913996152,0.002538127751379905,-0.21039240612953847,2.0,2.0,1.0,0.21594824629023535,0.005252071471544184,-0.19064512068758627
2.0,36.0,38.0,2.0,2.0,1.0,0.21594824629023535,0.005252071471544184,3.0,1.0,0.75,0.3719295705395767,0.0023073888648908226,-0.18334815366722162,2.0,2.0,1.0,0.13391669421185526,-0.016406310415676018,-0.16344185987526672
2.0,37.0,38.0,2.0,2.0,1.0,0.13391669421185526,-0.016406310415676018,6.0,1.3,0.75,0.4091225275935344,0.0023073888648908226,-0.1785357884925807,2.0,2.0,1.0,0.1584559507594001,0.00490785130950897,-0.15849739921005135
2.0,38.0,38.0,2.0,2.0,1.0,0.1584559507594001,0.00490785130950897,4.0,1.0,1.0,0.45003478035288785,0.002538127751379905,-0.15074506844993255,2.0,2.0,1.0,0.11424887837466358,-0.008841414476947307,-0.13068687133027734
2.0,39.0,38.0,2.0,2.0,1.0,0.11424887837466358,-0.008841414476947307,7.0,1.3,1.0,0.49503825838817667,0.002791940526517896,-0.13896011305158226,2.0,2.0,1.0,0.11849853174726732,0.0008499306745207491,-0.11881321729469935
2.0,40.0,38.0,2.0,2.0,1.0,0.11849853174726732,0.0008499306745207491,0.0,0.75,0.75,0.445534432549359,0.0025127464738661062,-0.12739076715263498,2.0,2.0,1.0,0.10431556388281749,-0.0028365935728899673,-0.10666156203132343
2.0,41.0,38.0,2.0,2.0,1.0,0.10431556388281749,-0.0028365935728899673,4.0,1.0,1.0,0.45082372186615355,0.0027640211212527173,-0.07642378330937129,2.0,2.0,1.0,0.05255099542749875,-0.010352913691063748,-0.05542464071613806
