episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios
54.0,12960.0,0.23233333333333334,-181.27679101854483,-103.7219777909808,3.7638518094504185,23.0,92.0,39.0,52.0,6.0,0.4005659637937213,0.002542811897551203,0.3381177913996152,0.002538127751379905,nan,nan,nan,nan,45.40959875900515,38.0,10.0
55.0,13200.0,0.232,-115.18092450821341,-100.46067542216637,2.6077639378761215,23.0,92.0,39.0,52.0,8.0,0.4468567149515425,0.00269083549423144,0.4057413496795382,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
56.0,13440.0,0.23166666666666666,-43.9132067987619,-99.23851005194058,0.993465230348257,23.0,92.0,39.0,52.0,4.0,0.39745736486355643,0.0027511223367919636,0.3381177913996152,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
57.0,13680.0,0.23133333333333334,-92.38717931549007,-102.33411415997598,2.208897855144498,23.0,92.0,39.0,52.0,7.0,0.38284117061371353,0.00277101074692462,0.3719295705395767,0.0029851428109529355,nan,nan,nan,nan,45.40959875900515,38.0,10.0
58.0,13920.0,0.231,-104.08055543423565,-104.05211186769131,2.5228952437633247,23.0,92.0,39.0,52.0,5.0,0.47728246956045656,0.002545363517118029,0.47471737912505974,0.002538127751379905,nan,nan,nan,nan,45.40959875900515,38.0,10.0
59.0,14160.0,0.23066666666666666,-194.59502335299106,-112.33957029723365,4.167557911700814,23.0,92.0,39.0,52.0,10.0,0.4456136468785105,0.002771075969844473,0.45082372186615355,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
60.0,14400.0,0.23033333333333333,-145.86347903670543,-114.18706035632954,2.993965417228706,23.0,92.0,39.0,52.0,5.0,0.42813516892736714,0.0026818955385073677,0.45082372186615355,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
61.0,14640.0,0.23,-159.13148696054094,-104.93250072766034,3.6474776510916342,23.0,92.0,39.0,52.0,11.0,0.4325106618900667,0.0029947442153538998,0.44631548464749204,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
62.0,14880.0,0.22966666666666666,-148.34790561071466,-104.90930087462625,2.9524837614695993,23.0,92.0,39.0,52.0,7.0,0.4424972741319289,0.0030414807273206556,0.45082372186615355,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
63.0,15120.0,0.22933333333333333,-43.50931868903854,-104.86185561082853,0.9434023137025064,23.0,92.0,39.0,52.0,2.0,0.43082451472074906,0.0029319078887566053,0.3719295705395767,0.002538127751379905,nan,nan,nan,nan,45.40959875900515,38.0,10.0
64.0,15360.0,0.229,-147.92566107635693,-110.82779634707622,2.8178890464346273,23.0,92.0,39.0,52.0,4.0,0.4720737478808205,0.002641375327222742,0.45082372186615355,0.002791940526517896,nan,nan,nan,nan,45.40959875900515,38.0,10.0
65.0,15600.0,0.22866666666666666,-114.25917473168234,-114.84857475671065,2.5025269814610636,23.0,92.0,39.0,52.0,4.0,0.43988169946049455,0.00298479265308524,0.36516721471158436,0.0027688666378689877,nan,nan,nan,nan,45.40959875900515,38.0,10.0
66.0,15840.0,0.22833333333333333,-43.73677649967417,-110.61765540314386,1.0605498773780344,23.0,92.0,39.0,52.0,4.0,0.442780171981422,0.003002221712356632,0.4418523298010172,0.0027688666378689877,nan,nan,nan,nan,45.40959875900515,38.0,10.0
67.0,16080.0,0.228,-162.88648480580792,-113.30540162244408,3.3858741780579726,23.0,92.0,39.0,52.0,9.0,0.4139801165121872,0.002732622301767553,0.36151554256446855,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
68.0,16320.0,0.22766666666666666,-37.848454941364736,-113.15060618742741,1.3390231710673024,23.0,92.0,39.0,52.0,3.0,0.4544013811651835,0.0025702445614266987,0.44631548464749204,0.002538127751379905,nan,nan,nan,nan,45.40959875900515,38.0,10.0
69.0,16560.0,0.22733333333333333,-71.06640963346275,-106.78031879748895,2.157090083437501,23.0,92.0,39.0,52.0,8.0,0.4595031914831404,0.0026822429383339245,0.45082372186615355,0.003316825345503261,nan,nan,nan,nan,45.40959875900515,38.0,10.0
70.0,16800.0,0.227,-109.05559272401655,-102.6834693010903,2.272477322121182,24.0,96.0,40.0,53.333333333333336,1.0,0.39463746748836614,0.0026918738573822893,0.4091225275935344,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
71.0,17040.0,0.22666666666666666,-70.11664476044446,-102.62452868667287,1.5458258759470738,24.0,96.0,40.0,53.333333333333336,3.0,0.42364750039074117,0.0026956354450451605,0.45082372186615355,0.0030100190010442095,nan,nan,nan,nan,45.40959875900515,38.0,10.0
72.0,17280.0,0.22633333333333333,-32.76581465137328,-102.79817694584452,0.9273565829415921,24.0,96.0,40.0,53.333333333333336,1.0,0.40593794169483494,0.0029568232660021018,0.45082372186615355,0.002538127751379905,nan,nan,nan,nan,45.40959875900515,38.0,10.0
73.0,17520.0,0.226,-37.26725768731259,-102.76070711183661,0.7881587119733853,24.0,96.0,40.0,53.333333333333336,2.0,0.41373978633883474,0.0028545528052494108,0.35432138326743573,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
74.0,17760.0,0.22566666666666668,-115.26455479651675,-99.46009530073522,2.5453969066788367,24.0,96.0,40.0,53.333333333333336,4.0,0.3903079346498317,0.002780348976767441,0.3381177913996152,0.003071134579169686,nan,nan,nan,nan,45.40959875900515,38.0,10.0
75.0,18000.0,0.22533333333333333,-39.02119728606748,-95.65210893962791,0.8674940574567985,24.0,96.0,40.0,53.333333333333336,2.0,0.44259538224939904,0.002559401075537509,0.4959060940527689,0.002538127751379905,nan,nan,nan,47.07865005046669,45.40959875900515,38.0,10.0
76.0,18240.0,0.225,-73.5192202183589,-97.13240961060777,2.181772766817914,24.0,96.0,40.0,53.333333333333336,5.0,0.45467618902055645,0.0028395014673980204,0.3381177913996152,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
77.0,18480.0,0.22466666666666668,-107.55712209152372,-97.89090674940944,2.0170972864868895,24.0,96.0,40.0,53.333333333333336,2.0,0.4097812317583545,0.0028540468047578613,0.4959060940527689,0.002741177971490298,nan,nan,nan,nan,45.40959875900515,38.0,10.0
78.0,18720.0,0.22433333333333333,-81.34328966206142,-96.75404346080073,1.7873676130178853,24.0,96.0,40.0,53.333333333333336,5.0,0.3743423881821631,0.0025373446973074166,0.3381177913996152,0.0027640211212527173,nan,nan,nan,nan,45.40959875900515,38.0,10.0
79.0,18960.0,0.224,-181.27114591958806,-96.08784958913057,3.469651659647294,24.0,96.0,40.0,53.333333333333336,0.0,0.40004875261586764,0.0026136270384639333,0.36088289036498084,0.002791940526517896,nan,nan,nan,nan,45.40959875900515,38.0,10.0
80.0,19200.0,0.22366666666666668,-125.14114461907752,-95.05173286824919,2.711104348200859,24.0,96.0,40.0,53.333333333333336,2.0,0.41542401407919566,0.0030433916250585356,0.3976670968209155,0.0030152957686393283,nan,nan,nan,nan,45.40959875900515,38.0,10.0
81.0,19440.0,0.22333333333333333,-124.15904992068907,-93.3031110162566,2.9599174754642976,24.0,96.0,40.0,53.333333333333336,6.0,0.4212314977922049,0.0024938095020421605,0.3381177913996152,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
82.0,19680.0,0.223,-208.79808577796533,-96.32562002461913,5.182115653644449,24.0,96.0,40.0,53.333333333333336,7.0,0.4271278004665795,0.002926548401270681,0.4091225275935344,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
83.0,19920.0,0.22266666666666668,-116.11096355110352,-99.95570226772239,3.1735403430658207,24.0,96.0,40.0,53.333333333333336,4.0,0.4075884613455119,0.002905308845380573,0.3381177913996152,0.0027688666378689877,nan,nan,nan,nan,45.40959875900515,38.0,10.0
84.0,20160.0,0.22233333333333333,-56.65031057406157,-95.39193474260762,1.3189431013951927,24.0,96.0,40.0,53.333333333333336,7.0,0.43242111610475725,0.002715772817949749,0.5860708384259996,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
85.0,20400.0,0.222,-133.16620747417872,-96.33728637973243,2.9057210386613748,24.0,96.0,40.0,53.333333333333336,8.0,0.4608004217153529,0.0030170141656671763,0.4959060940527689,0.0026597622445590653,nan,nan,nan,nan,45.40959875900515,38.0,10.0
86.0,20640.0,0.22166666666666668,-116.73365775848472,-99.98713044267296,3.0105679496893427,24.0,96.0,40.0,53.333333333333336,10.0,0.491598755155164,0.002995756671543162,0.5221891170375658,0.0030457533016558865,nan,nan,nan,nan,45.40959875900515,38.0,10.0
87.0,20880.0,0.22133333333333333,-219.7810900576182,-102.83186070526347,4.583407000038715,24.0,96.0,40.0,53.333333333333336,6.0,0.4680777568526186,0.0029437169767788465,0.5221891170375658,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
88.0,21120.0,0.221,-315.680554640403,-116.72346569021538,6.322771061684506,24.0,96.0,40.0,53.333333333333336,9.0,0.42532350102744404,0.0031653142962370802,0.40168393618274284,0.003384170335173207,nan,nan,nan,nan,45.40959875900515,38.0,10.0
89.0,21360.0,0.22066666666666668,-49.127644939461916,-115.62652745551534,1.4474436317721076,24.0,96.0,40.0,53.333333333333336,4.0,0.41935196405817465,0.0027117058510303846,0.5860708384259996,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
