fit_scenario,minute,error_c,error_rate_c_per_min,nearest_error_rule,nearest_delta_rule,label_kp,label_ki
4.0,110.0,0.2224445137258968,0.024232647777134277,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,115.0,0.24387308672537955,0.00428571459989655,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,120.0,0.23789073643844105,-0.0011964700573876997,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,125.0,0.14715003028737073,-0.018148141230214066,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,130.0,1.0278247634870965,0.17613494663994517,3.0,4.0,0.7664494449146888,0.01521871724141333
4.0,135.0,0.9169740537556592,-0.02217014194628746,3.0,2.0,0.7664494449146888,0.01521871724141333
4.0,140.0,0.8180706917257723,-0.019780672405977383,3.0,2.0,0.7664494449146888,0.01521871724141333
4.0,145.0,0.5258952711366511,-0.058435084117824235,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,150.0,0.12904727787580228,-0.07936959865216978,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,155.0,-0.19854291095758825,-0.06551803776667811,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,160.0,-0.4698012127014266,-0.054251660348767675,1.0,1.0,0.7664494449146888,0.01521871724141333
4.0,165.0,-0.4759599434823727,-0.0012317461561892173,1.0,2.0,0.7664494449146888,0.01521871724141333
4.0,170.0,-0.29429915765652837,0.03633215716516887,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,175.0,0.07244678944235972,0.07334918941977761,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,180.0,0.35067416656361416,0.05564547542425089,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,185.0,0.4763776081967386,0.02514068832662488,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,190.0,0.46223277752686087,-0.002828966133975541,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,195.0,0.29627980937557297,-0.03319059363025758,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,200.0,0.05113026803060805,-0.049029908268992985,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,205.0,-0.14545670629031804,-0.039317394864185215,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,210.0,-0.29820025779463677,-0.030548710300863747,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,215.0,-0.30772983597918113,-0.0019059156369088726,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,220.0,-0.21637495268743834,0.018270976658348557,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,225.0,-0.04257366309342814,0.03476025791880204,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,230.0,0.17950311209876446,0.04441535503843852,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,235.0,0.19864123975226633,0.0038276255307003737,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,240.0,0.2523484410761192,0.010741440264770575,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,245.0,0.161578404327134,-0.018154007349797042,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,250.0,0.072860467675536,-0.0177435873303196,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,255.0,-0.020954674403512286,-0.01876302841580966,2.0,2.0,0.7664494449146888,0.01521871724141333
